ID,Heading,Content,What,Why,How,When,Who,References,Contributions,Other
448,actsasimage,plugin takes simple approach saving images scale images save file system used save types files handle types images rmagick differentiate normal images animations saving jpeg gif respectively specify many different sizes want whether scaled cropped,0,0,1,0,0,0,0,0
449,installing,check plugin repository put vendor plugins directory script plugin install svn plugins trunk acts_as_image use want subversion add svn externals entry plugin,0,0,1,0,0,0,0,0
450,model,created model yet use generator create model migration used actsasimage script generate acts_as_image model image migrate create new table rake migrate existing model want use make sure fields content_type hash_string original_filename addition plugin create attribute file model used hold image written disk finally add acts_as_image model class definition,0,0,1,0,0,0,0,0
451,controller view,add uploaded file model file attribute saving done automatically making sure file accessible mass assignment naming field form model_name file,0,0,1,0,0,1,0,0
452,paths sizes,control path images written sizes image resized example model definition class image activerecord base acts_as_image must come first self image_sizes original x100 large medium small thumb crop self image_save_path file join rails_root public images uploads self image_read_path images uploads join end image image_sizes contains hash names sizes images written disk key used filename value rmagick geometry string simplesystems org rmagick doc imusage html geometry value array first element geometry string second either crop scale specifying image scaled cropped resized original image saved default specify original entry x100 achieve result image image_save_path path images written server image image_read_path path image browser sees image also sub path consists md5 hash split three parts avoid hitting file system limits many files directory contain full path image look something like public images uploads small jpg path use view retrieved via url method image image_tag image url small alt image title,0,0,0,0,0,1,0,0
453,contact,reach mail toredarell gmail likely add new features bug fixes letting know minor improvements welcome,1,0,0,0,1,0,0,0
454,event calendar ical extension radiant,created loren johnson hellovenado version contact loren hellovenado,0,0,1,1,0,0,0,0
455,installation,req radiant version tested earlier versions may work checkout extension vendor extensions directory radiant app using svn may already done svn svn group radiant_extensions event_calendar install vpim ical vcal parsing gem gem install vpim migrate extensions rake migrate extensions copy extension public assets radiant public directory currently create default public icals directory required home cached ical subscription files configurable via radiant config event_calendar icals_path rake radiant extensions event_calendar update admin navigate new event calendars tab click add calendar enter ical subscription url calendar press save manually refresh calendar subscription saved clicking refresh link,0,0,1,0,0,0,0,0
456,example event calendar implementation,create new calendar eventcalendar tab admin entering minimum ical url click refresh link calendar successfuly created download events ical subscription create new page select eventcalendar page type paste following code body page part save page note used previous version event calendar version events factored presented separate window list changes look event events addition new event tag start event start_date daterange tag changed timeperiod calendar table nav week_link class navlink month_link class navlink year_link class navlink nav begin_date format end_date format table div eventlist events div class eventbox header start format header event table class event event onclick togglevisible detail effect highlight event return style text transform uppercase width calendar_name style title style text transform uppercase width div detail class detail timeperiod format location description div table event div events div calendar navigate newly created page within public site create link event event tag href url target link calendar reoccurring events probably want use tag links event ical_uid unique identifier ical event note reoccurring events ical_uid case ical model pick first event occurs future events list inside radiant admi9n ical_uid added event_url pk8qd73t0isvejm1p8bbd7dk18 google display event separate window create new page page type event serve event page example content page simply event title description event use event tags library page,0,0,1,0,0,1,0,0
457,notes,handling paths node eventcalendar page overridden capture calendar category slug create page home calendar apply eventcalendar page type admin create calendar category master youth able access calendar yoursite calendar master youth also also able see events calendars category master navigating yoursite calendar master addition also select class events public private class default specify public events adding url yoursite calendar master youth public add documentation please refer radiant tag reference available tags link within page edit calendar tag series see calendar tag documentation available editing page already saved eventcalendar page type please refer tag documentation available tags editing page radiant page must already created eventcalendar type wish setup cron job automatically keep radiant calendar sync ical feed cron run following within root radiant application script runner production calendar refresh_all running migration class_name event calendar page change eventcalendarpage eventcalendar migrate back version change revert version calendar extension longer compatible,0,0,0,1,0,0,0,0
458,development roadmap,manual event entry screens allow manual events mixed events subscriptions tag create link source ical file offering subscription link,1,0,0,0,0,0,0,0
459,,radiantcms extension originally behavior alessandro preite martinez adds tags fetch display rss feeds uses ruby feedparser module able cache raw feed data fetch new feed modified using modified since header,0,0,1,0,0,0,0,0
460,installation,radiant_app_root git clone git github lorenjohnson radiant rss reader git vendor extensions rss_reader via git submodule radiant_app_root git submodule add git github lorenjohnson radiant rss reader git vendor extensions rss_reader git submodule init git submodule update necessary via tarball download tarball github lorenjohnson radiant rss reader tarball master radiant_app_root vendor extentions radiant_app_root vendor extentions tar xvzf lorenjohnson radiant rss reader tgz lorenjohnson radiant rss reader rss_reader,0,0,1,0,0,0,0,0
461,usage example,use page like example feed items url somefeed rss limit feed link feed creator feed date format feed content feed items also order feed entry attribute date feed items url feeds boingboing net boingboing ibag order creator asc feed link feed items headers mark sections feed items url feeds boingboing net boingboing ibag order creator asc feed header creator feed creator feed header feed link feed items sort items group headers date title content creator link url item things documented rss_reader,0,0,0,0,1,0,0,0
462,contributors,original author alessandro preite martinez ale incal net port extension clark bjclark scidept scidept loren johnson loren group group modifications james macaulay jmacaulay gmail jmacaulay net michael hale mikehale gmail michaelahale bryan liles iam smartic smartic license creative commons attribution share alike license,0,0,1,0,0,0,0,0
463,setup,migrate extensions rake migrate extensions update directory resources instance public directory rake radiant extensions directory update api google get google maps key set radiant script console radiant config directory google_map_key fill google maps key,0,0,1,0,0,0,0,0
464,sample directory output,create new page directorytags page type copy body page part page directory map div searchresults directory results div style display div class map_infowindow infowindow_ directory if_distance distance format miles if_distance directions_link class external driving directions directions_link if_website_url website_link class external website website_link if_website_url address_line1 address_city address_state address_zip phone phone div div div class result result_ div class strong strong div class distance directions_link class external driving directions directions_link if_website_url website_link class external website website_link if_website_url div div div class detail style display div class address address_line1 address_city address_state address_zip phone phone div div div directory results div,1,0,0,0,0,1,0,0
465,willpaginate,pagination limiting number records displayed let get way developing plugin makes magic happen ever want able model post paginate page order created_at desc render page links single view helper well resources get started mind reels questions join google group will_paginate project page github mislav will_paginate report bugs github mislav will_paginate wikis report bugs ryan bates made awesome screencast check,0,0,1,0,0,0,0,0
466,installation,previously plugin available following svn location svn errtheblog svn plugins will_paginate february moved github tracked git version control svn repo continued updates time switch using gem gem install will_paginate remove plugin application add simple require end config environment require will_paginate remember install gem machines deploying extensive installation github mislav will_paginate wikis installation instructions wiki github mislav will_paginate wikis,0,0,1,0,0,0,0,0
467,example usage,use paginate finder controller posts post paginate_by_board_id board page params page order updated_at desc yeah paginate works like find fetch records forget tell page want complain read willpaginate finder classmethods render posts view like would normally need render pagination stick will_paginate posts done copy paste example fancy css styles bottom find option list willpaginate viewhelpers know much items fetch per page asks model calling per_page class method define like class post activerecord base cattr_reader per_page per_page end like class post activerecord base def self per_page end end worry willpaginate defines default always specify count explicitly calling paginate posts post paginate page params page per_page paginate finder wraps original finder returns resultset new properties use collection would activerecord resultset willpaginate view helpers also need object able render pagination post posts render post nice way end let render pagination will_paginate posts detailed documentation willpaginate finder classmethods pagination models willpaginate viewhelpers views,0,0,0,0,1,0,0,0
468,authors credits,authors mislav marohnić hyett original announcement errtheblog post original php source strangerstudios sandbox pagination diggstyle php people helped making will_paginate code contributions simply awesome ideas chris wanstrath nic williams adam christensen mike garey bence golda matt aimonetti charles brian quinn desi mcadam james coglan matijs van zuijlen maria brendan ribera todd willey bryan helmkamp jan berkel lourens naudé rick olson,0,0,0,0,0,1,0,0
469,usable pagination,css styles get started examples directory showcased examples index html file reading pagination design pattern pagination kurafire net log archive pagination pagination gallery smashingmagazine pagination gallery examples good practices pagination yahoo design pattern library developer yahoo ypatterns parent php pattern pagination want discuss request features ask questions join google group groups google group will_paginate,0,0,0,0,0,1,0,0
470,rspec dev,rspec info github dchelimsky rspec dev wikis mailto rspec devel rubyforge org,1,0,0,0,0,0,0,0
471,description,project rspec developers contributors,0,0,1,0,0,0,0,0
472,install,git clone git github dchelimsky rspec dev git rspec dev rake git update,0,0,1,0,0,0,0,0
473,running examples,order run rspec full suite examples rake pre_commit must install following gems rake runs build script rcov verifies code covered specs syntax required highlight ruby code diff lcs required use diff switch win32console required colour switch windows hoe required order make releases rubyforge heckle required use heckle switch hpricot used parsing html html output formatter rspec specs installed able run suite following steps path rspec dev rake install_dependencies example_rails_app export rspec_rails_version rake rspec generate_sqlite3_config rake pre_commit note rspec built dependencies outside ruby core stdlib exceptions spec command line uses diff lcs diff specified spec command line uses heckle heckle specified spec rake spectask needs rcov rcov enabled task,0,0,0,0,1,0,0,0
474,license,mit license copyright rspec development team permission hereby granted free charge person obtaining copy software associated documentation files software deal software without restriction including without limitation rights use copy modify merge publish distribute sublicense sell copies software permit persons software furnished subject following conditions copyright notice permission notice shall included copies substantial portions software software provided without warranty kind express implied including limited warranties merchantability fitness particular purpose noninfringement event shall authors copyright holders liable claim damages liability whether action contract tort otherwise arising connection software use dealings software,0,0,0,0,0,1,0,0
475,webrat ruby acceptance testing web applications,rubyforge org projects webrat github brynary webrat mailto bryan brynary mailto seth mojodna net,1,0,0,0,0,0,0,0
476,description,webrat lets quickly write robust thorough acceptance tests ruby web application leveraging dom run tests similarly browser testing solution without associated performance hit browser dependency result tests less fragile effective verifying app respond properly users comparing webrat browser testing solution like watir selenium primary consideration much javascript application uses browser testing currently way test may make requirement project javascript central application webrat simpler effective solution let run tests much faster frequently benchmarks forthcoming initial development sponsored eastmedia eastmedia,0,0,1,0,0,0,0,0
477,synopsis,def test_sign_up visits clicks_link sign fills_in email good example selects free account clicks_button register end behind scenes perform following work verify loading home page successful verify sign link exists home page verify loading url pointed sign link leads successful page verify email input field sign page verify select field sign page option free account verify register submit button page verify submitting sign form values good example free account leads successful page take special note things specified test might cause tests break unnecessarily application evolves input field ids names user_email user email could change rename model form element webrat good job guessing even multiple forms page urls links followed url form submission sent could change adjust routes controllers method login request test written webrat handle changes smoothly,0,0,1,0,0,0,0,0
478,requirements,rails hpricot rails integration tests test unit rspec stories using rspec version revision,0,0,1,0,0,0,0,0
479,install,stories helper require webrat could also unpack gem vendor plugins,0,0,0,1,0,0,0,0
480,history,see changelog directory,0,0,0,0,1,0,0,0
481,license,copyright bryan helmkamp seth fitzsimmons see mit license directory,1,0,0,0,0,0,0,0
482,rspec caching test plugin,plugin helps test caching rspec provides matchers test caching expiring want currently aiming functional controller specifications basic useful stuff extracted one projects matchers get lambda cache_page url expire_page url cache_action action cache_fragment expire_action action expire_fragment note cache_action cache_fragment thing cache_action turns action argument right using fragment_cache_key see rails docs info,0,0,1,0,0,0,0,0
483,installation,almost drop solution need set plugin test hooks calling setup method preferably spec_helper file like agw cachetest setup,0,0,1,0,0,0,0,0
484,example,consider following example specification describe postscontroller describe handling get posts cache page lambda get index cache_page posts end cache rss feed lambda get index format rss cache_page posts rss end end end cache_page matcher tests lambda actually triggers caching describe handling get users cache action lambda get show user_id user cache_action show end end cache_action takes symbol action current controller test entire hash used url_for,0,0,0,1,0,0,0,0
485,log,version like beta plugin works remains without test suite bit rough around edges maybe,0,0,0,1,0,0,0,0
486,,build full test suite adapt integration testing,0,0,0,0,1,0,0,0
487,credits,copyright arjan van der gaag released mit license,1,1,0,0,0,0,0,0
488,cucumber,cucumber tool running automated tests written plain language written plain language read anyone team read anyone use help improve communication collaboration trust team cucumber gherkin example ruby implementation cucumber cucumber also available javascript java lot languages find list implementations cucumber docs installation see contributing info contributing cucumber issues prs etc everyone interacting codebase issue tracker expected follow cucumber code conduct,0,0,1,0,0,0,0,0
489,installation,cucumber ruby ruby gem install would install gem add cucumber gemfile gem cucumber install bundle install gem directly gem install cucumber later document bundler considered used commands using bundle exec case execute cucumber directly without bundle exec,0,0,1,0,0,0,0,0
490,supported platforms,ruby ruby ruby ruby ruby ruby jruby limitations known issue jruby info found,0,0,0,0,0,1,0,0
491,ruby rails,using ruby rails use cucumber rails bring cucumber rails project,0,0,1,0,0,0,0,0
492,initialization,need initialize features directory bundle exec cucumber init create following directories files exist already features step_definitions support env,0,0,1,0,0,0,0,0
493,create specification,create file named rule feature features directory features rule feature feature rule sample rule rule example passing example given pass action results example failing example given fail action results,0,0,1,0,0,0,0,0
494,automate specification,file named steps features step_definitions features step_definitions steps given pass this_will_pass end given fail this_will_pass end action end results expect this_will_pass end,0,0,1,0,0,0,0,0
495,run cucumber,bundle exec cucumber execute single feature file bundle exec cucumber features rule feature execute single example indicates line example bundle exec cucumber features rule feature summarize results standard output writte html report disk bundle exec cucumber format summary format html report html command line options bundle exec cucumber help also find documentation command line possibilities features docs cli,0,0,0,0,0,1,0,0
496,documentation support,getting started writing features step definitions cucumber docs ruby api documentation rubydoc info github cucumber cucumber ruby community support forum community smartbear cucumber open cucumberos slack register account head intro,0,0,0,0,1,0,0,0
497,copyright,copyright cucumber ltd contributors see license details,0,0,0,0,1,0,0,0
498,license,please see file license licensing details,0,0,1,0,0,0,0,0
499,usage,tool allows view passwords stored mozilla firefox also allows encrypt decrypt password store master password required required access,0,0,1,0,0,0,0,0
500,installation,pyrex url cosc canterbury greg python pyrex installed use distutils install python setup install set although may course need modify sys path use prefix install non standard place pyrex things become little complicated supply source created pyrex possible compile manually likely running gcc pthread fno strict aliasing fpic ipythonpath shared lnss3 nss nss pythonpath probably usr include python2 similar copy extension site packages directory copy mozpass want manually,0,0,1,0,0,0,0,0
501,bugs,bugs reported pont_mozpass_bugs soua net reasons simplicity use hand hacked header file instead requiring installation nss headers supplied file overly simplistic place additional requirement abi used responsible adjusting stack parameters passed stack seen system becomes problem though,1,0,0,0,0,0,0,0
502,oniguruma bindings ruby,ruby bindings oniguruma geocities kosako3 oniguruma regular expression library gem require recompilation ruby enable disable oniguruma geocities kosako3 oniguruma project rewrite original gem oniguruma rubyforge org ruby extension rewrite project aims compatible versions oniguruma geocities kosako3 oniguruma project able build operate oniguruma geocities kosako3 oniguruma versions tested following versions rspec tests document features supported different versions though primarily version support multibyte regular expressions additionally constant names added removed oniguruma geocities kosako3 oniguruma versions safely use gem replacement work textpow textpow rubyforge org ultraviolet ultraviolet rubyforge org get nice syntax highlighting warehouse warehouseapp,1,0,0,0,0,0,0,0
503,features oniguruma geocities kosako3 oniguruma,increased performance interface standard regexp class easy transition support named groups look ahead look behind cool features support regexp syntaxes perl python java etc,0,0,1,0,0,0,0,0
504,synopsis,reg oniguruma oregexp new match reg match terraforming puts match terraforming puts match terr puts match forming,0,0,1,0,0,0,0,0
505,syntax,consult syntax txt link files syntax_txt html page,0,0,1,0,0,0,0,0
506,requirements,oniguruma geocities kosako3 oniguruma library versions supported find version library used check code oniguruma version engine code,0,0,1,0,0,0,0,0
507,install,sudo gem install geoffgarside oniguruma gems github,0,0,1,0,0,0,0,0
508,bugs problems incompatibilities,documentation incomplete due issues code rdoc c_parser code code oregexp code implemented code oregexp kcode code results compatible code regexp code code oregexp code options set string visible affects code oregexp options code code oregexp to_s code code oregexp inspect code code oregexp code,0,0,0,1,0,0,0,0
509,todo,get documentation working rdoc,0,0,0,0,1,0,0,0
510,credits,lugovoi oregexp sub oregexp gsub code lots stuff kosako great library lot documentation copied original ruby regex documentation dizan vasquez original oniguruma bindings gem,0,0,0,0,1,0,0,0
511,licence,portions code copyright dizan vasquez though due heavy refactoring integration original ruby layer made division blurred see license txt link files license_txt html page details,0,0,0,0,1,1,0,0
512,insoshi social software,first join insoshi google group groups google group insoshi subscribe get started insoshi encounter problems sure refer trac wiki trac insoshi expands points note currently working updating trac wiki reflect insoshi repository github insoshi insoshi hosted github github,0,0,1,0,0,0,0,0
513,get git,source code insoshi hosted git version control system developed linus torvalds host linux kernel first step install git linux mac users problems windows users might install cygwin cygwin first,0,0,1,0,0,0,0,0
514,libraries,need install freeimage sqlite optionally mysql install instructions three easy find using google,0,0,1,0,0,0,0,0
515,gems,probably rails already might others sudo gem install rails sudo gem install image_science sudo gem install ferret sudo gem install mysql sudo gem install sqlite3 ruby,0,0,1,0,0,0,0,0
516,installing app,steps get running insoshi rails app,0,0,1,0,0,0,0,0
517,git steps,repository large enough mainly due frozen rails gems may take finish first step clone repository git clone git git insoshi insoshi git make git branch git checkout firstname_lastname replace firstname_lastname without angle brackets later point follow steps trac insoshi insoshi wiki contributingback also sure get habit syncing main repository git add git commit git checkout master git pull git checkout firstname_lastname git rebase master,0,0,1,0,0,0,0,0
518,config files tests,create config files run tests actually rspec examples spec directory config database example config database yml config initializers preferences example config initializers preferences rake migrate rake spec tests fail photos controller test double check freeimage imagescience installed migration creates admin user password admin,0,0,1,0,0,0,0,0
519,loading sample data,load sample data start server rake sample_data reload script server rake task loads sample data make developing easier sample users email logins example password foobar localhost log follows email michael example password foobar open source code favorite editor start hacking,0,0,0,1,0,0,0,0
520,stat tracker,note minimalist stat tracker lets keep track many different installs isoshi collect personal information want tracked open application html erb comment line one tracker tell activity insoshi installs,0,0,0,0,1,0,0,0
521,license,see file license,1,1,0,0,0,0,0,0
522,synopsis,merb activeadmin drop backend merb applications use sequel orm gives application administrators direct access specified models add edit delete anything need also provides way add remove associated data one many many many relationships models plugin features provided low configuration setting easy possible,0,0,1,0,0,0,0,0
523,installation,three steps download install include activeadmin merb gem plugins install merb_active_admin either system gem repository application gem repository example downloading installing app gems folder wget github canadaduane merb_active_admin tree master pkg merb_active_admin gem raw merb_active_admin gem my_merb_app mkdir gems gem install merb_active_admin gem gems step add line include activeadmin sequel models want available activeadmin example example app models assignment class assignment sequel model assignments add line include activeadmin set_schema integer primary_key auto_increment string unique null string link text instructions end one_to_many submissions end assignment create_table unless assignment table_exists run app visit new admin area localhost active_admin,0,0,0,0,0,1,0,0
524,source code,main repository github canadaduane merb_active_admin tree,1,0,0,0,0,1,0,0
525,screencast,activeadmin browse data models click particular piece data see associated data row used jquery flexigrid provide flexible tables pagination see one many many one many many relationships handled automatically add remove associations models app routes automatically adjusted plugin drop activeadmin plugin work configuration options make customizing easy running sequel orm makes proper use datasets query manipulation using ruby code drive underlying sql add sequel model layer sequel get something similar activerecord much powerful dataset abstraction underneath code google ruby sequel,1,0,0,0,0,0,0,0
526,annotatemodels,add comment summarizing current schema bottom activerecord model fixture file using object daddy annotate example files schema info table line_items integer null primary key quantity integer null product_id integer null unit_price float order_id integer class lineitem activerecord base belongs_to product annotates geometrical columns geom type srid using spatialadapter postgisadapter schema info table trips local geometry point path geometry line_string,0,0,1,0,0,0,0,0
527,warning,note code blow away initial final comment block models looks like previously added annotate models want add additional text automatically created comment block back model files using,0,0,1,0,0,0,0,0
528,install,rubyforge sudo gem install annotate github gem sources gems github sudo gem install ctran annotate,0,0,1,0,0,0,0,0
529,usage,annotate models path app annotate annotate routes annotate annotate add annotation beginning end file annotate remove annotations annotate,0,0,0,0,1,0,0,0
530,license,released license ruby support warranty,0,0,0,0,1,0,0,0
531,author,original code dave thomas pragmatic programmers llc modifications alex pivotallabs cuong tran github ctran jack danger github jackdanger michael bumann github bumi henrik nyh github henrik marcos piccinini github nofxx neal clark github nclark jacqui maher github jacqui nick plante github zapnap blog zerosum org many others may missed add,1,1,0,0,0,0,0,0
532,introduction,gradesheet designed give teachers tools need record student grades web based make easily accessible everyone students parents log system check grades even communicate teacher,0,0,0,0,0,1,0,0
533,helpful links,repository github rnhurt gradesheet live example demo kangaroobox bugs feature suggestions github rnhurt gradesheet issues professional support kangaroobox kookaburra,0,0,1,0,0,0,0,0
534,requirements,ruby working moving rails dependencies aka rails plugins will_paginate github mislav will_paginate awesome pagination system ruby authlogic github binarylogic authlogic clean simple unobtrusive ruby authentication solution validates_existence github joshsusser validates_existence rails plugin provides validates_existence_of method activerecord models check existence records referenced belongs_to associations validates_date_time svn viney net things rails plugins validates_date_time rails plugin provides easy way validate dates times livepipe_ui livepipe net suite high quality widgets controls web applications built using prototype javascript framework prawn prawn majesticseacreature pdf framework report generation prawn layout github sandal prawn layout tree master extension prawn offering table support grid layouts things prawn format github jamis prawn format tree master extension prawn pdf generation library allows use html ish tags,0,0,1,0,0,0,0,0
535,installation,typical ruby rails project installed like ror project since development testing done debian ubuntu simpler get running using one oss however run system runs rails get source code github rnhurt gradesheet tree master add dependencies noted requirements section modify database yml point database run rake migrate create database schema run rake fixtures load load test data run rake seed load bootstrap admin user run script server start development web server fire web browser point localhost log admin password password enjoy,0,0,1,0,0,0,0,0
536,building documentation,gradesheet documented using standard built rdoc system build documentation run command rake doc app however build better looking documentation might want use command rake doc app_horo uses horo template results documentation much easier eyes,0,0,1,0,0,0,0,0
537,testing,currently gradesheet tests written using standard built test framework however rspec looks attractive get bit time might move meantime use standard rails testing commands run test rails test units etc turned webrat gitrdoc brynary webrat tree master impressed integration tests majority soon converted want run full test suite install webrat gem performance testing implemented excellent jmeter jakarta apache org jmeter package project uses authlogic user authentication end trouble trying get performance numbers system however little time spent jmeter gotten least little way toward able measure speed system becoming ever important design solidifies optimization begins,0,0,1,0,0,0,0,0
538,professional support maintenance,interested using gradesheet school want install maintain consider using kangaroobox kangaroobox server appliance running kookaburra kangaroobox kookaburra commercial version gradesheet,0,0,0,0,1,0,0,0
539,legal information,author richard hurt copyright copyright kangaroobox llc license gpl see license file directory,1,0,0,0,0,0,0,0
540,pada python advanced api,still beta software python library gives simply access database pada object relational mapping still must write sql library easier,0,0,1,0,0,0,0,0
541,features,rewriting querires data one paramstyles qmark format numeric named pyformat paramstyle supported used database,0,0,1,0,0,0,0,0
542,install,linux run command console sudo python setup install still need driver database use currently supported databases sqlite driver included python postgresql driver psycopg2 mysql driver mysqldb oracle driver cx_oracle,0,0,0,1,0,0,0,0
543,todo,write documentation write examples move unittests separate directory add support ibm db2 micsosoft sql server formating result xml yaml output format result file stream add support keyword,1,0,0,0,0,0,0,0
544,script aculo web javascript,web changing year old terminal like technology originally gradually giving way new ways things power ajax allows rich user interaction without trouble bugged traditional web applications building upon wonderful prototype javascript library script aculo provides great additional ingredients mix information see script aculo,0,0,0,1,0,0,0,0
545,new release,see changelog file information new follow twitter scriptaculous want updated fix bugs add new features,0,0,1,0,0,0,0,0
546,installation usage,script aculo includes prototype javascript framework use later versions become available see prototypejs org put prototype six files scriptaculous builder effects dragdrop controls slider directory website javascripts sound unittest files optional include scripts adding following tags head section html pages script src javascripts prototype type text javascript script script src javascripts scriptaculous type text javascript script scriptaculous automatically load files script aculo distribution provided accessible via path see wiki script aculo scriptaculous show usage detailed usage instructions,0,0,1,0,0,1,0,0
547,distribution,besides script aculo files src complete test tree included holds functional unit tests script aculo need examples implement things best place start opening test run_functional_tests html test run_unit_tests html browser looking sources examples provided,0,0,0,0,1,0,0,0
548,license,script aculo licensed terms mit license see included mit license file,1,1,0,0,0,0,0,0
549,expectations,expectations lightweight unit testing framework tests expectations written follows expect end expect nomethoderror object invalid_method_call end expectations designed encourage unit testing best practices discourage setting one expectation time promote maintainability providing setup teardown method provide one syntax setting state based behavior based expectation focus readability providing mechanism describing expectation code expectation mocking done utilizing mocha mocha rubyforge org jay fields blog jayfields,0,0,1,0,0,0,0,0
550,download installation,download expectations rubyforge org projects expectations install following command gem install expectations,0,0,0,0,1,0,0,0
551,license,may use copy redistribute library terms ruby see ruby lang org license txt,0,0,1,0,0,0,0,0
552,textmate,following code used new command textmate running individual expectation export line tm_line_number export rubylib tm_bundle_support rubymate rubylib rubylib tm_ruby ruby tm_bundle_support rubymate run_script,0,0,1,0,0,0,0,0
553,usage,expectations used state based behavior based testing require file dirname test_helper expectations state based expectation value equals another value expect end state based expectation exception expected simply expect class intended exception expect nomethoderror object no_method end behavior based test using traditional mock expect mock receive dial times phone phone dial phone dial end behavior based test using stub expect stub receive dial times phone phone dial phone dial end behavior based test using stub_everything expect stub_everything receive dial times phone phone dial phone dial end behavior based test concrete mock expect object receive deal object deal end state based test utilizing stub expect stub two two end state based test matching regexp expect string string end state based test checking actual expected range expect end state based test determine object instance module expect enumerable end state based test determine object instance class expect string string end state based test determine modules expect enumerable enumerable end state based test determine classes expect string string end state based test xml strings whitespace tags ignored expect xml foo bar foo foo bar foo end state based test xml strings whitespace tags ignored expect xml eos one two three three five five two one eos one two three three five five two one end normally defined file specific class klass class new def save arg record save arg end end state based delegation test expect klass new delegate save record instance instance save end normally defined file specific class klass class new attr_accessor started end state based fluent interface boolean test using expect klass new started process process started end normally defined file specific class klass class new attr_accessor finished end state based fluent interface boolean test using expect klass new finished process process finished end expect nil nil expect object nil end,0,0,0,0,1,0,0,0
554,contributors,matt mower ola bini george malamidis brian guthrie philippe hanrigou steve mclarnon rubikitch subhash gupta,1,0,0,0,0,0,0,0
555,apache2 archive,port jon peterson apache archive module port done david moreno david axiombox,1,0,0,0,0,0,0,0
556,description,apache module designed used apache web server mod_perl environment allows apache present tar tar files menu component parts user may pick choose elements view download appearance menu fully configurable templates,0,0,1,0,0,0,0,0
557,pre requisites,use module need apache pref mod_perl archive tar compress zlib,0,0,1,0,0,0,0,0
558,installation,install using normal technique perl modules perl makefile make make test make install,0,0,0,0,1,0,0,0
559,author,jon peterson jon snowdrift org,0,0,0,0,1,0,0,0
560,copying,copyright peterson module free software redistribute modify terms perl,1,1,0,0,0,0,0,0
561,cash_handler,cash_handler aims intuitive useful set extensions utilities assist handling money across different currencies ruby rails,0,0,1,0,0,0,0,0
562,requirements installation,install hpricot gem gem install hpricot install cash_handler plugin script plugin install git github jamesbrooks cash_handler git,0,0,1,0,0,0,0,0
563,usage,cashhandler base new get current exchange rate aud usd currency code strings case sensitive also symbols get aud get current exchange rate aud gbp get aud gbp convert convert aud usd force converstion rates cache reload currencies cache expire cashhandler cache default cache life one day overridden one two ways upon creation cashhandler base new ttl minutes operation cache ttl minutes,0,0,1,0,0,0,0,0
564,backup rates case themoneyconverter inaccessible,may configure cash_handler create backup file every time pulls rates themoneyconverter event themoneyconverter inaccessible rates stored backup file used configure cash_handler persist rates app log directory cashhandler base new backup_rates_file_location rails_root tmp rates yml working development test environment cache classes disabled may want fetch new rates request force cache expiration initialization cashhandler cache new force_expire production environment cashhandler base new force_expire rails env production,0,0,0,0,1,0,0,0
565,copyright license,copyright james brooks released mit license,1,0,0,0,0,0,0,0
566,braid,braid simple tool help track git svn vendor branches git repository project homepage github evilchelu braid wikis home,0,0,1,0,0,0,0,0
567,requirements,git git svn want mirror svn repositories main open4,0,0,1,0,0,0,0,0
568,installing using rubygems official releases,gem install braid,0,0,1,0,0,0,0,0
569,installing using rubygems development releases,gem sources gems github gem install evilchelu braid,0,0,1,0,0,0,0,0
570,installing source,git clone git github evilchelu braid git braid gem build braid gemspec sudo gem install braid gem,0,0,1,0,0,0,0,0
571,quick usage ruby project,let assume writing something like gitnub needs grit lib grit initialize repo nothing braid related git init gritty gritty touch readme git add readme git commit initial commit let vendor grit braid add git github mojombo grit git lib grit done braid vendored grit lib grit feel free inspect changes git log git show line want bring new changes grit repository update mirror braid update lib grit,0,0,1,0,0,0,0,0
572,quick usage rails project,let assume want start new rails app called shiny initialize repo nothing braid related git init shiny shiny touch readme git add readme git commit initial commit vendor rails might take rails repo huge braid add git github rails rails git vendor rails create new rails app nothing braid related ruby vendor rails railties bin rails git add git commit rails add plugins might need braid add git github thoughtbot shoulda git braid add git github thoughtbot factory_girl git braid add git github mbleigh subdomain git done braid vendored rails plugins feel free inspect changes git log git show line want bring new changes rails repository update mirror braid update vendor rails want mirrors updated braid update,0,0,1,0,0,1,0,0
573,usage,use built help system find commands options braid help braid help add braid add help may also want read usage examples,0,0,0,0,0,1,0,0
574,troubleshooting,check troubleshooting issues,0,0,0,0,0,0,1,0
575,contributing,appreciate patches error reports usage ideas may please submit lighthouse ticket start thread mailing list bugs feature requests braid project lighthouse discussions community support braid gem google group,0,0,0,0,1,0,0,0
576,authors,cristi balan evilchelu norbert crombach norbert,0,0,0,0,1,0,0,0
577,contributors alphabetically,alan harper christoph sturm dennis muhlestein ferdinand svehla michael klishin roman heinrich tyler rick,1,0,0,0,0,0,0,0
578,rrsync ruby rsync,rrsync rsync backup script written ruby performs simple operation syncing contents given folder remote location via ssh script allows control level output log files screen output ideal calling cron launchd backups structured remote location current current folder contains latest clone intended backup folder remote location backup_dir backup directory default current day monday tuesday etc contains difference current since last run contain new files files deleted notice take responsibility data loss please test using test data please feel free contribute script accept changes good,0,0,1,0,0,0,0,0
579,install,things required script function correctly ruby rsync ssh command rsync default rsync date missing used options may use macports install latest sudo port install rsync install script simply copy ever wish run script make sure executable issuing following sudo chmod rrsync,0,0,1,0,0,0,0,0
